
1월 11, 2024 13:21:54.378 NEW SESSION
1월 11, 2024 18:00:16.504 [7136:8772:0111/180016.504:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:01:10.328 [7136:8772:0111/180110.328:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:01:41.166 [7136:8772:0111/180141.166:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:02:06.968 [7136:8772:0111/180206.968:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:02:34.912 [7136:8772:0111/180234.912:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:02:52.819 [7136:8772:0111/180252.818:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:04:00.81 [7136:8772:0111/180400.080:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:05:19.728 [7136:8772:0111/180519.728:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:05:27.62 [7136:8772:0111/180527.062:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:05:56.217 [7136:8772:0111/180556.217:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:06:31.202 [7136:8772:0111/180631.202:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:06:52.344 [7136:8772:0111/180652.344:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:07:22.919 [7136:8772:0111/180722.919:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:09:17.840 [7136:8772:0111/180917.840:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:10:23.787 [7136:8772:0111/181023.787:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
